MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
3659332,"Iñiguez, A. and Sangroniz, J.",J. Algebra,2017,article,20D15 (20F10),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, http://www.gap-system.org, 2016.",4.8.6,Yes,105,3
3275646,"Iovanov, M. and Mason, G. and Montgomery, S.",Math. Res. Lett.,2014,article,16T05 (16S34 20C05),"The GAP Group, GAP—groups, algorithms, and programming, Version 4.5.5, 2012, available at: http://www.gap-system.org.",4.5.5,Yes,117,3
1972024,"Ivanov, A. A. and Pasechnik, D. V.",Discrete Math.,2003,incollection,51E24 (05E25 20E42),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews. 1999. (http://www-gap.dcs.st-and.ac.uk/simgap).",4.2,Yes,137,3
2108123,"Ivanov, A. A. and Shpectorov, S. V.",Nagoya Math. J.,2004,article,20E06 (20D08),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews, 1999. (http://www-gap.dcs.st-and.ac.uk/simgap)",4.2,Yes,136,3
2064755,"Ivanov, A. A. and Pasechnik, D. V.",J. London Math. Soc. (2),2004,article,20B25 (20E08),"GAP Group, GAP – Groups, algorithms, and programming. Version 4.2 (Aachen, St Andrews, 1999) (http://www.gap-system.org/).",4.2,Yes,122,3
2684148,"Ivanov, A. A. and Pasechnik, D. V. and Seress, Á. and Shpectorov, S.",J. Algebra,2010,article,20C34 (20C30 20D08),"The GAP Group, GAP—Groups Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008.",4.4.12,Yes,103,3
2968225,"Ivanov, A. A. and Seress, Á.",Math. Z.,2012,article,20C35 (17B69 20D08),"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). http://www.gap-system.org",4.4.12,Yes,104,3
3005109,"Ivanov, A. A. and Shpectorov, S.",Adv. Geom.,2012,article,20C34 (17B69 20D08),"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.4.12, 2008. www.gap-system.org",4.4.12,Yes,96,3
1795309,"Ivanyos, G. and Lux, K.",Experiment. Math.,2000,article,16Z05 (16G99 20C40),"M. Schönert et al., GAP: Groups, algorithms, and programming, 5th ed., Lehrstuhl D für Mathematik, RWTH Aachen, 1996. See http://www.math.rwth-aachen.de/simGAP/WWW/.",Unknown,Yes,165,2
4074341,"Iverson, J. W. and Jasper, J. and Mixon, D. G.",Discrete Comput. Geom.,2020,article,05B10 (05E30 20C15 42C15 52C30),"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.8.4 (2016). http://www.gap-system.org",4.8.4,Yes,103,3
