MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
2172712,"Chua, K. S.",Experiment. Math.,2005,article,11F22 (11H31 11Y60),"The GAP Group. ""Groups, Algorithms, and Programming, Version 4.4."" Available from World Wide Web (http://www.gap-system.org), 2005.",4.4,Yes,131,3
2522582,"Cicalò, S. and de Graaf, W. A.",J. Symbolic Comput.,2009,article,17B99 (17-08),"GAP, 2004. GAP - Groups, Algorithms, and Programming, Version 4.4. The GAP Group. http://www.gap-system.org.",4.4,Yes,108,3
2859920,"Cicalò, S. and de Graaf, W. A. and Schneider, C.",Linear Algebra Appl.,2012,article,17B30 (11E04 17B40 17B56),"S. Cicalò, W.A. de Graaf, C. Schneider, LieAlgDB–a GAP package, Version 2.1, November 2010. Available from: <www.sztaki.hu/simschneider/Research/LieAlgDB>.",Package,Yes,155,3
2859920,"Cicalò, S. and de Graaf, W. A. and Schneider, C.",Linear Algebra Appl.,2012,article,17B30 (11E04 17B40 17B56),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008. Available from: <http://www.gap-system.org>.",4.4.12,Yes,122,3
2862197,"Cicalò, S. and de Graaf, W. A. and Vaughan-Lee, M.",J. Algebra,2012,article,17B30 (17B05 20D15),"Björn Assmann, Guarana. A GAP4 package, http://www.gap-system.org/Packages/guarana.html, 2007.",Package,Yes,94,3
2862197,"Cicalò, S. and de Graaf, W. A. and Vaughan-Lee, M.",J. Algebra,2012,article,17B30 (17B05 20D15),"Serena Cicalò, Willem A. de Graaf, LieRing. A GAP package, http://science.unitn.it/simdegraaf/liering.html, 2011.",Package,Yes,113,3
2862197,"Cicalò, S. and de Graaf, W. A. and Vaughan-Lee, M.",J. Algebra,2012,article,17B30 (17B05 20D15),"The GAP Group, GAP - groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2004.",4.4,Yes,103,3
1822856,"Cid, C. and Schulz, T.",Experiment. Math.,2001,article,20H15 (20C35),"M. Schönert et al., GAP: Groups, algorithms, and programming, 4th ed., Lehr-stuhl D für Mathematik, RWTH Aachen, 1994. See http://www-gap.dcs.st-and.ac.uk/simgap.",Unknown,Yes,162,2
4116648,"Cimpoeaş, M. and Nicolae, F.",Forum Math.,2020,article,11R42 (20C15),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.2; 2019, https://www.gap-system.org.",4.10.2,Yes,107,3
3911640,"Ciobanu, L. and Kolpakov, A.",Discrete Math.,2019,article,05C10 (05C25 20E07),"GAP - Groups, Algorithms, Programming - a System for Computational Discrete Algebra, Available online at http://www.gap-system.org/.",Unknown,Yes,132,2
3483156,"Ciolan, E. and García-Sánchez, P. A. and Moree, P.",SIAM J. Discrete Math.,2016,article,20M14 (11B68 11C08),"M. Delgado, P. A. García-Sánchez, and J. Morais, ""NumericalSgps"", a GAP package for numerical semigroups; available online from http://www.gap-system.org/. 
MR3493240",Package,Yes,166,3
4152353,"Cisto, C. and DiPasquale, M. and Failla, G. and Flores, Z. and Peterson, C. and Utano, R.",Semigroup Forum,2020,article,20M14,"Delgado, M., García-Sánchez, P.A., Morais, J.: NumericalSgps, A Package for Numerical Semigroups, Version 1.1.11. https://gap-packages.github.io/numericalsgps (2019). (Refereed GAP package)",Package,Yes,189,3
4152353,"Cisto, C. and DiPasquale, M. and Failla, G. and Flores, Z. and Peterson, C. and Utano, R.",Semigroup Forum,2020,article,20M14,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.2. https://www.gapsystem.org (2019)",4.10.2,Yes,106,3
1989467,"Claesson, A. and Godsil, C. D. and Wagner, D. G.",Discrete Math.,2003,article,06A11 (06A07),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002 (http://www.gap-system.org).",4.3,Yes,102,3
2672155,"Clancy, M. and Ellis, G.",J. K-Theory,2010,article,20J06 (20F36),"B. Eick, F. Gähler and W. Nickel, ""Cryst"", a package for the GAP computer algebra system, available from http://www.gap-system.org.",Package,Yes,131,3
2672155,"Clancy, M. and Ellis, G.",J. K-Theory,2010,article,20J06 (20F36),"G. Ellis, ""HAP - Homological Algebra Programming"", a package for the GAP computer algebra system, available from http://www.gap-system.org.",Package,Yes,139,3
3079760,"Clark, W. E. and Elhamdadi, M. and Hou, X. and Saito, M. and Yeatman, T.",Pacific J. Math.,2013,article,57M25,"The GAP Group, ""Groups, algorithms, and programming"", Version 4.4.12, 2008, http://www.gap-system.org.",4.4.12,Yes,102,3
3079760,"Clark, W. E. and Elhamdadi, M. and Hou, X. and Saito, M. and Yeatman, T.",Pacific J. Math.,2013,article,57M25,"L. Vendramin, ""Rig: a GAP package for racks and quandles"", 2011, http://code.google.com/p/rig.",Package,Yes,94,3
3253967,"Clark, W. E. and Elhamdadi, M. and Saito, M. and Yeatman, T.",J. Knot Theory Ramifications,2014,article,57M25 (57M27),"The GAP Group, GAP—groups, algorithms, and programming, version 4.4.12 (2008), http://www.gap-system.org.",4.4.12,Yes,105,3
3253967,"Clark, W. E. and Elhamdadi, M. and Saito, M. and Yeatman, T.",J. Knot Theory Ramifications,2014,article,57M25 (57M27),"L. Vendramin, RIG—a GAP package for racks and quandles (2011), http://code.google.com/p/rig/.",Package,Yes,93,3
1808349,"Cohen, A. M. and Steinbach, A. and Ushirobira, R. and Wales, D.",J. Algebra,2001,article,17B05,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4b5, Aachen, St. Andrews, 1998 [http://www-gap.dcs.st-and.ac.uk/simgap]",Unknown,Yes,135,2
2047097,"Cohen, A. M. and Murray, S. H. and Taylor, D. E.",Math. Comp.,2004,article,20G15 (20C40),"The GAP Group, Aachen, St Andrews, GAP – Groups, Algorithms, and Programming, Version 4.1, 1999 (http://www.gap-system.org).",4.1,Yes,124,3
2124811,"Cohen, A. M. and Gijsbers, D. A. H. and Wales, D. B.",J. Algebra,2005,article,16S99 (20F36),"A.M. Cohen, D.A.H. Gijsbers, GBNP, a GAP package for Gröbner bases computations with noncommutative polynomials, Eindhoven, http://www.win.tue.nl/amc/ow/grobner/doc/, 2002.",Package,Yes,172,3
2141659,"Cohen, A. M. and Cuypers, H. and Gramlich, R.",Combinatorica,2005,article,05C75 (20E25 20G35),"Martin Schönert et al.: GAP - Groups, Algorithms, and Programming, Rheinisch Westfälische Technische Hochschule, Aachen, 1995.",Unknown,No,126,1
2531218,"Cohen, A. M. and Roozemond, D.",J. Algebra,2009,article,17B45 (17-04 20G40),"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org/, 2008.",4.4.12,Yes,107,3
2827040,"Cohen, A. M. and Wales, D. B.",Transform. Groups,2011,article,16S99 (17B22 20F36),"The GAP Group (2002), GAP-Groups, Algorithms and Programming, Aachen, St. Andrews, available at http://www-gap.dcs.st-and.ac.uk/gap.",Unknown,Yes,132,2
3169552,"Cohen, A. M. and Gijsbers, D. A. H. and Wales, D. B.",Comm. Algebra,2014,article,16S99 (17B99 20F05 20F36 20M05),"The GAP Group. (2002). GAP-Groups, Algorithms and Programming, Aachen, St. Andrews. Available at http://www-gap.dcs.st-and.ac.uk/gap",Unknown,Yes,132,2
2489325,"Cohen, A. M. and Ivanyos, G. and Roozemond, D.",Indag. Math. (N.S.),2008,article,17B20,"Cohen A.M., Gijsbers D.A.H.–GBNP 0.9.4, A GAP package for computing Gröbner bases of non-commutative polynomials, Eindhoven, 2007, available at: http://www.mathdox.org/products/gbnp/.",Package,Yes,183,3
3918046,"Colombo, E. and Frediani, P. and Ghigi, A. and Penegini, M.",Commun. Contemp. Math.,2019,article,14H40 (14G35 14K10),"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.8.7 (2017); http://www.gap-system.org.",4.8.7,Yes,106,3
2169384,"Colton, S.",J. Symbolic Comput.,2005,article,68T15 (68W30),"Gap, 2000. GAP Reference Manual. The GAP Group, School of Mathematical and Computational Sciences, University of St. Andrews.",Unknown,No,125,1
3768257,"Conaway, R. and Gotti, F. and Horton, J. and O'Neill, C. and Pelayo, R. and Pracht, M. and Wissman, B.",Internat. J. Algebra Comput.,2018,article,20M14 (05E40),"M. Delgado, P. García-Sánchez and J. Morais, NumericalSgps, A package for numerical semigroups, Version 0.980 dev (2013), (GAP package), http://www.fc.up.pt/cmup/mdelgado/numericalsgps/. 
MR3493240",Package,Yes,197,3
1655469,"Conder, M. D. E. and Walker, C. G.",J. Algebra,1998,article,05C25,"M. Schönert et al., ""GAP: Groups, Algorithms and Programming,"" Lehrstuhl D für Mathematik, RWTH Aachen, Germany, 1992.",Unknown,No,118,1
1980244,"Conder, M. and Maclachlan, C. and Todorovic Vasiljevic, S. and Wilson, S.",J. London Math. Soc. (2),2003,article,57M60 (20H15),"M. Schönert et al., GAP: Groups, algorithms and programming (Lehrstuhl D für Mathematik, RWTH Aachen, Aachen, 1992).",Unknown,No,116,1
2673021,"Conder, M. and Exoo, G. and Jajcay, R.",European J. Combin.,2010,article,05C25 (05C12),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.9; 2006, http://www.gap-system.org.",4.4.9,Yes,103,3
2781021,"Conder, M. and Tucker, T.",Ars Math. Contemp.,2011,article,05E18 (05E15 20B05),"The GAP Group, GAP–Groups, Algorithms and Programming, Version 4.3, 2002, http://www.gap-system.org.",4.3,Yes,100,3
4044691,"Conder, M. and Havas, G. and Newman, M. F. and Ramsay, C.",J. Algebra,2020,article,20F05 (20-04 20D06 20G40),"The GAP Group, Aachen, GAP – Groups, Algorithms, and Programming. See http://www.gap-system.org.",Unknown,Yes,96,2
1865535,"Conway, J. H. and Delgado Friedrichs, O. and Huson, D. H. and Thurston, W. P.",Beiträge Algebra Geom.,2001,article,20H15,"Eick, B.; Gähler, F.; Nickel, W.: CrystGap, computing with affine crystallographic groups. See: http://www.math.rwth-aachen.de/simGAP/WWW/Info4/share.html, 2000.",Unknown,Yes,161,2
1865535,"Conway, J. H. and Delgado Friedrichs, O. and Huson, D. H. and Thurston, W. P.",Beiträge Algebra Geom.,2001,article,20H15,"Felsch, V.; Nickel, W.: CrystCat, a catalog of crystallographic groups of dimensions 2, 3, and 4. See: http://www.math.rwth-aachen.de/simGAP/WWW/Info4/share.html, 2000.",Package,Yes,168,3
3784022,"Cook, W. J. and Hughes, N. A.",Involve,2018,article,17B10 (20F55),"""GAP – Groups, Algorithms, and Programming"", version 4.8.7, 2017, available at http://www.gap-system.org.",4.8.7,Yes,105,3
3116175,"Coquereaux, R. and Zuber, J.",SIGMA Symmetry Integrability Geom. Methods Appl.,2013,article,16T05 (18D10 22Exx 81R50),"GAP - Groups, Algorithms, Programming - a system for computational discrete algebra, http://www.gap-system.org.",Unknown,Yes,111,2
2255127,"Cordeiro, E. and Delgado, M.",J. Algebra,2006,article,20M07 (20M05 20M20),"M. Delgado, S. Linton, J. Morais, Automata: A GAP package on finite automata, http://www.gap-system.org/Packages/automata.html.",Package,Yes,127,3
2255127,"Cordeiro, E. and Delgado, M.",J. Algebra,2006,article,20M07 (20M05 20M20),"M. Delgado, J. Morais, SgpViz: A GAP package to visualize finite semigroups, http://www.gap-system.org/Packages/sgpviz.html.",Package,Yes,124,3
2255127,"Cordeiro, E. and Delgado, M.",J. Algebra,2006,article,20M07 (20M05 20M20),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2004.",4.4,Yes,101,3
2230648,"Cordeiro, E. and Delgado, M. and Fernandes, V. H.",Bull. Austral. Math. Soc.,2006,article,20M20 (20K45 20M05 20M07),"M. Delgado and J. Morais, `SgpViz, a GAP [27] package to visualize finite semigroups (http://www.gap-system.org/Packages/sgpviz.html)'.",Package,Yes,135,3
2230648,"Cordeiro, E. and Delgado, M. and Fernandes, V. H.",Bull. Austral. Math. Soc.,2006,article,20M20 (20K45 20M05 20M07),"The GAP Group., `GAP–groups, algorithms, and programming, Version 4.4', (2004). (http://www.gap-system.org).",4.4,Yes,108,3
1835062,"Cornelissen, G. and Kato, F. and Kontogeorgis, A.",Math. Ann.,2001,article,14G20 (11G09),"Martin Schönert et al., rm GAP - Groups, Algorithms, and Programming, Lehrstuhl rm D für Mathematik, RWTH-Aachen, Germany, fifth edition, 1995",Unknown,No,142,1
2026841,"Cornelissen, G. and Kato, F.",Geom. Dedicata,2003,article,14G20 (14H37),"Schönert, M. et al.: GAP—Groups, Algorithms and Programming, Lehrstuhl D für Mathematik, RWTH-Aachen, Germany, fifth edition, 1995.",Unknown,No,131,1
2745555,"Cortadellas, T. and Zarzuela, S.",J. Algebra,2011,article,13H10 (13A30),"M. Delgado, P.A. Garcia-Sánchez, J. Morais. NumericalSgps - a GAP package, 0.95, 2006, http://www.gap-system.org/ Packages/numericalsgps.",Package,Yes,137,3
2745555,"Cortadellas, T. and Zarzuela, S.",J. Algebra,2011,article,13H10 (13A30),"The GAP Group, GAP - Groups, Algorithms, and Programming - Version 4.4.10, 2007.",4.4.10,No,80,1
3034776,"Cortadellas Benítez, T. and Jafari, R. and Zarzuela Armengou, S.",Semigroup Forum,2013,article,13A30 (13D40 13H10),"Delgado, M., García-Sánchez, P.A., Morais, J.: NumericalSgps-a GAP package, 0.95 (2006). http://www.gap-system.org/Packages/numericalsgps",Package,Yes,137,3
3318260,"Cossey, J. P. and Halasi, Z. and Maróti, A. and Nguyen, H. N.",Math. Z.,2015,article,20C15 (20C30 20D06),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.3, (2013). http://www.gap-system.org",4.6.3,Yes,104,3
3503033,"Costa, A. and Steinberg, B.",Ergodic Theory Dynam. Systems,2016,article,37B10 (18B40),"M. Delgado, S. Linton and J. Morais. Automata: A GAP package on finite automata. http://www.gap-system.org/Packages/automata.html.",Package,Yes,130,3
3503033,"Costa, A. and Steinberg, B.",Ergodic Theory Dynam. Systems,2016,article,37B10 (18B40),"M. Delgado and J. Morais. SgpViz: A GAP package to visualize finite semigroups, http://www.gap-system.org/Packages/sgpviz.html, 2008.",Package,Yes,133,3
3503033,"Costa, A. and Steinberg, B.",Ergodic Theory Dynam. Systems,2016,article,37B10 (18B40),"The GAP Group. GAP – Groups, Algorithms, and Programming, Version 4.4, 2006. http://www.gap-system.org.",4.4,Yes,103,3
1909574,"Cousineau, G.",Theoret. Comput. Sci.,2002,incollection,68N18 (52C20 68U05),"The GAP Group, GAP: Groups, Algorithms and Programming, Version 4.2, 2000.",4.2,No,74,1
2805443,"Craven, D. A. and Eaton, C. W. and Kessar, R. and Linckelmann, M.",Math. Z.,2011,article,20C20,"Breuer, T.: Manual for the GAP Character Table Library, Version 1.1, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany (2004)",Package,No,165,2
2805443,"Craven, D. A. and Eaton, C. W. and Kessar, R. and Linckelmann, M.",Math. Z.,2011,article,20C20,"The GAP group, GAP-Groups, Algorithms, Programming, http://www.gap-system.org",Unknown,Yes,77,1
3567868,"Craven, M. J. and Robertz, D.",Groups Complex. Cryptol.,2016,article,94A60 (20F10 68W30 90C27),"G. Cooperman, ParGAP, Version 1.4.0, (2013), http://www.gap-system.org/Packages/pargap.html.",Package,Yes,92,3
3567868,"Craven, M. J. and Robertz, D.",Groups Complex. Cryptol.,2016,article,94A60 (20F10 68W30 90C27),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.7, 2015, http://www.gap-system.org.",4.7.7,Yes,105,3
2884238,"Creedon, L. and Gildea, J.",Canad. Math. Bull.,2011,article,16U60 (16S34 16S50 20C05),"The GAP Group, GAP—groups, algorithms, programming. Version 4.4.10, 2007. http://www.gap-system.org",4.4.10,Yes,99,3
3894326,"Creedon, L. and Hughes, K.",Finite Fields Appl.,2019,article,16W25 (13N15 16S34 20C05 20C07 20F10 94B05),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, https://www.gap-system.org, 2017.",4.8.6,Yes,106,3
2229881,"Crnković, D. and Rukavina, S. and Schmidt, M.",J. Combin. Des.,2006,article,05B05 (05E20),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org (2004).",4.4,Yes,102,3
2031313,"Crnković, D. and Held, D.",Illinois J. Math.,2003,incollection,05B05 (05E30),"GAP—Groups, Algorithms, and Programming, Version 4.2 (2000); http://www.gap-system.org.",4.2,Yes,87,2
2753303,"Crnković, D. and Mikulić, V. and Rodrigues, B. G.",Glas. Mat. Ser. III,2010,article,05B05 (05C12 05C51 20D45 20G40 94B05),"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4.9, http: //www-gap.des.st-and.ac.uk/gap/, 2006.",4.4.9,Yes,115,3
2753303,"Crnković, D. and Mikulić, V. and Rodrigues, B. G.",Glas. Mat. Ser. III,2010,article,05B05 (05C12 05C51 20D45 20G40 94B05),"L. H. Soicher, The GRAPE package for GAP, Version 4.3, http://www.maths.qmul.ac.uk/simleonard/grape/+, 2006.",Package,Yes,108,3
3100304,"Crnković, D. and Mikulić, V.",Ars Combin.,2013,article,05B05 (05E18 05E30),"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.4.9; 2006. (http://www.gap-system.org)",4.4.9,Yes,104,3
3100304,"Crnković, D. and Mikulić, V.",Ars Combin.,2013,article,05B05 (05E18 05E30),"L. H. Soicher, DESIGN - a GAP package, Version 1.3, 2006. (http://designtheory.org/software/gap_design/)",Package,Yes,104,3
3176023,"Crnković, D. and Rodrigues, B. G.",Quaest. Math.,2013,article,94B05 (05B05 20D45),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.9; 2006. (http://www.gap-system.org)",4.4.9,Yes,104,3
3843258,"Crnković, D. and Rukavina, S. and Švob, A.",Discrete Math.,2018,article,05E30 (05C12),"The GAP Group, GAP –Groups, Algorithms, and Programming, Version 4.8.4; 2016. (http://www.gap-system.org).",4.8.4,Yes,106,3
4097406,"Crnković, D. and Maksimović, M.",Contrib. Discrete Math.,2020,article,05E30 (20B25),"The GAP Group, GAP –Groups, Algorithms, and Programming, version 4.8.10, 2018, https://www.gap-system.org.",4.8.10,Yes,106,3
4105096,"Crnković, D. and Rukavina, S. and Švob, A.",J. Algebraic Combin.,2020,article,05E30 (05E18),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.8.7 (2017). http://www.gap-system.org",4.8.7,Yes,103,3
4105096,"Crnković, D. and Rukavina, S. and Švob, A.",J. Algebraic Combin.,2020,article,05E30 (05E18),"Soicher, L.H.: The GRAPE package for GAP, Version 4.7, 2017. http://www.maths.qmul.ac.uk/~leonard/grape/",Package,Yes,104,3
4105096,"Crnković, D. and Rukavina, S. and Švob, A.",J. Algebraic Combin.,2020,article,05E30 (05E18),"Wilson, R.A., Parker, R.A., Nickerson, S., Bray, J.N., Breuer, T.: The GAP package AtlasRep, Version 1.5.1 (2016). https://www.gap-system.org/Packages/atlasrep.html",Package,Yes,164,3
3814569,"Cummins, C. and Matias, R.",SIGMA Symmetry Integrability Geom. Methods Appl.,2018,article,11F22 (11F25),"GAP – Groups, Algorithms, and Programming, Version 4.8.7, 2017, http://www.gap-system.org/.",4.8.7,Yes,91,3
2872918,"Cunningham, G.",Discrete Math.,2012,article,52B15 (51M20 52B05),"The GAP Group, GAP—groups, algorithms, and programming, version 4.4.9, 2006. http://www.gap-system.org.",4.4.9,Yes,103,3
2946468,"Cunningham, G.",J. Algebraic Combin.,2012,article,52B15 (51M20),"The GAP Group: GAP—Groups, Algorithms, and Programming, version 4.4.9 (2006). http://www.gap-system.org",4.4.9,Yes,103,3
3208082,"Cunningham, G. and Pellicer, D.",Discrete Math.,2014,article,52B15 (05C90 52B05 52B12),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10, 2007. http://www.gap-system.org.",4.4.10,Yes,104,3
1837963,"Curran, M. J. and McCaughan, D. J.",Comm. Algebra,2001,article,20D45,"Schönert M. et al. GAP–Groups, algorithms and programming. Version 3.4.4. Lehrstuhl D für Mathematik, RWTH Aachen, and School of Mathematical and Computational Sciences, University of St Andrews, 1997.",3.4.4,No,201,2
2322775,"Curran, M. J.",Arch. Math. (Basel),2007,article,20D45 (20D15),"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2005, (http://www.gap-system.org).",4.4,Yes,105,3
2770889,"Curran, M. J. and Higgs, R. J.",Comm. Algebra,2011,article,20D45 (20D15),"The GAP Group (2005). GAP - Groups, Algorithms, and Programming, Version 4.4; http://www.gap-system.org.",4.4,Yes,104,3
2287578,"Curran, M. J.",Comm. Algebra,2007,article,20E36 (20D45),"The GAP Group (2005). Groups, Algorithms, and Programming, Version 4.4. http://www.gapsystem.org",4.4,Yes,96,3
1835589,"Curtin, E.",Discrete Math. Theor. Comput. Sci.,2001,article,05C30 (05C25),"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.2, 1999. Available at http://www-gap.dcs.st-and.ac.uk/gap.",4.2,Yes,124,3
1435382,"Cutolo, G. and Khukhro, E. I. and Lennox, J. C. and Wiegold, J. and Rinauro, S. and Smith, H.",J. Algebra,1997,article,20F50 (20D15),"M. Schönert et al., ""GAP—Groups, Algorithms and Programming,"" Lehrstuhl D für Mathematik, RWTH, Aachen, 1995.",Unknown,No,109,1
2220417,"Cutolo, G.",J. Group Theory,2006,article,20D45 (20D15),"The GAP Group. Gap–Groups, Algorithms, and Programming, Version 4.4 (2004). http://www.gap-system.org.",4.4,Yes,102,3
1816718,"Cutolo, G. and Smith, H. and Wiegold, J.",J. Algebra,2001,article,20D15,"The GAP Group, ""GAP-Groups, Algorithms, and Programming,"" Version 4.2, Aachen/St. Andrews, 1999, http://www-gap.dcs.st-and.ac.uk/sim gap.",4.2,Yes,137,3
2228206,"Cuypers, H.",J. Algebra,2006,article,20G15 (20E45),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005.",4.4,Yes,101,3
2955219,"Cuypers, H. and Horn, M. and in 't panhuis, J. and Shpectorov, S.",J. Algebra,2012,article,17B20 (20D05 20G40),"The Gap Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org.",4.4.12,Yes,104,3
3828795,"Cziszter, K. and Domokos, M. and Szöll\H{o}si, I.",J. Algebra,2018,article,13A50 (20D60),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, http://www.gap-system.org, 2016.",4.8.6,Yes,105,3
2195590,"Dabbaghian-Abdoly, V.",Canad. J. Math.,2006,article,20C40 (20C15),"V. Dabbaghian-Abdoly, REPSN - A Package for Constructing Representations of Finite Groups. GAP package. http://www.gap_system.org/Packages/repsn.html 2004. 
MR2168613",Package,Yes,166,3
2195590,"Dabbaghian-Abdoly, V.",Canad. J. Math.,2006,article,20C40 (20C15),"The GAP Group, GAP-Groups, Algorithms, Programming-A System for Computation Discrete Algebra. Version 4.3, 2002, http://www.gap-system.org.",4.3,Yes,139,3
2299793,"Dabbaghian-Abdoly, V.",Math. Comp.,2007,article,20C40 (20C15),"V. Dabbaghian-Abdoly, RPSEN - A Package for Constructing Representations of Finite Groups, GAP Package, 2004, (http://www.gap-system.org/Packages/repsn.html). 
MR2168613",Package,Yes,169,3
2299793,"Dabbaghian-Abdoly, V.",Math. Comp.,2007,article,20C40 (20C15),"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.6 (2005), (http://www.gap-system.org).",4.6,Yes,104,3
2168613,"Dabbaghian-Abdoly, V.",J. Symbolic Comput.,2005,article,20C40 (20C15),"Dabbaghian-Abdoly, V., 2004. RPSEN—A Package for Constructing Representations of Finite Groups. GAP Package. http://www.gap-system.org/Packages/repsn.html. 
MR2705116",Package,Yes,166,3
2168613,"Dabbaghian-Abdoly, V.",J. Symbolic Comput.,2005,article,20C40 (20C15),"The GAP Group, 2004. GAP—Groups, Algorithms, and Programming. Version 4.4. http://www.gap-system.org.",4.4,Yes,101,3
2255125,"Dabbaghian-Abdoly, V.",J. Algebra,2006,article,20C33 (20G40),"V. Dabbaghian-Abdoly, RPSEN—A Package for Constructing Representations of Finite Groups, GAP Package, 2004, http://www.gap-system.org/Packages/repsn.html. 
MR2168613",Package,Yes,165,3
2303192,"Dabbaghian-Abdoly, V.",J. Algebra,2007,article,20C33 (20D06),"V. Dabbaghian-Abdoly, REPSN—A package for constructing representations of finite groups, GAP package, http://www.gap-system.org/Packages/repsn.html, 2004. 
MR2168613",Package,Yes,165,3
2303192,"Dabbaghian-Abdoly, V.",J. Algebra,2007,article,20C33 (20D06),"The GAP Group, GAP—Groups, algorithms, and programming, version 4.4.6, http://www.gap-system.org, 2005.",4.4.6,Yes,103,3
2630014,"Dabbaghian, V. and Dixon, J. D.",Math. Comp.,2010,article,20C40 (20C15),"V. Dabbaghian, REPSN—for constructing representations of finite groups, GAP package, Version 3.0.1, (2008). (http://www.gap-system.org/Packages/repsn.html).",Package,Yes,156,3
2630014,"Dabbaghian, V. and Dixon, J. D.",Math. Comp.,2010,article,20C40 (20C15),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). (http://www.gap-system.org).",4.4.12,Yes,107,3
3126631,"Dabbaghian, V. and Dixon, J. D.",LMS J. Comput. Math.,2013,article,20C15 (20C40),"The GAP Group, GAP-Groups, Algorithms, and Programming, version 4.5.5, 2012, http://www.gap-system.org.",4.5.5,Yes,103,3
2777016,"Dabkowski, M. K. and Jablan, S. and Khan, N. A. and Sahi, R. K.",J. Knot Theory Ramifications,2011,article,57M25 (55N10),"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3; 2006, http://www.gap-system.org.",4.3,Yes,101,3
1997706,"Dalla Volta, F. and Lucchini, A. and Morini, F.",Glasg. Math. J.,2003,article,20P05 (20D60),"The GAP group, GAP - Groups, Algorithms and Programming, Version 4.2 (Aachen, St. Andrews, 1999).",4.2,No,97,2
1953793,"Dalla Volta, F. and Di Martino, L. and Previtali, A.",J. Group Theory,2003,article,20H20,"The GAP Group. GAP—Groups, algorithms, and programming. Version 4.2 (2000), http://www.gap-system.org.",4.2,Yes,102,3
2556139,"Daly, D. and Vojtěchovský, P.",J. Algebra,2009,article,20N05 (20J99),"The GAP Group, GAP - Groups, algorithms, and programming, version 4.4, Aachen, St Andrews, visit, http://www-gap.dcs.st-and.ac.uk/simgap, 2006.",4.4,Yes,143,3
2556139,"Daly, D. and Vojtěchovský, P.",J. Algebra,2009,article,20N05 (20J99),"G.P. Nagy, P. Vojtěchovský, LOOPS: Computing with quasigroups and loops in GAP, download at http://www.math.du.edu/loops.",Package,Yes,121,3
2813470,"D'Anna, M. and Micale, V. and Sammartano, A.",J. Commut. Algebra,2011,article,13A30 (13H10),"The GAP Group, GAP-Groups, algorithms, and programming-Version 4.4.10, (2007) (http://www.gap-system.org).",4.4.10,Yes,106,3
2813470,"D'Anna, M. and Micale, V. and Sammartano, A.",J. Commut. Algebra,2011,article,13A30 (13H10),"M. Delgado, P.A. Garcia-Sanchez and J. Morais, NumericalSgps-A GAP package, 0.96 (2005), (http://www.gap-system.org/Packages/numericalsgps).",Package,Yes,140,3
3786416,"D'Anna, M. and García-Sánchez, P. A. and Micale, V. and Tozzo, L.",Internat. J. Algebra Comput.,2018,article,20M14,"M. Delgado, P. A. García-Sánchez and J. Morais, ""NumericalSgps"", A GAP package for numerical semigroups, Version 1.1.0 (2017), (Refereed GAP package), https://gap-packages.github.io/numericalsgps. 
MR3493240",Package,Yes,207,3
3786416,"D'Anna, M. and García-Sánchez, P. A. and Micale, V. and Tozzo, L.",Internat. J. Algebra Comput.,2018,article,20M14,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.7, 2017, http://www.gap-system.org.",4.8.7,Yes,105,3
