MR,Author,Journal,Year,Publication Type,Citation,Version,Website,Lentght,Accuracy Score,Lenght
3724696,"Araújo, J. and Kinyon, M. and Konieczny, J. and Malheiro, A.",Proc. Roy. Soc. Edinburgh Sect. A,2017,article,"A. Distler and J. D. Mitchell. GAP package - smallsemi, v. 0.6.8 (2014). (Available at http://www-groups.mcs.st-andrews.ac.uk/~jamesm/smallsemi.)",Package,Yes,145,3,145
2995039,"Araújo, J. and Cameron, P. J. and Mitchell, J. D. and Neunhöffer, M.",J. Algebra,2013,article,"James D. Mitchell, The GAP-package Citrus. Version 0.6, http://www-groups.mcs.st-andrews.ac.uk/simjamesm/citrus/index.html, 2012.",Package,Yes,129,3,129
2995039,"Araújo, J. and Cameron, P. J. and Mitchell, J. D. and Neunhöffer, M.",J. Algebra,2013,article,"Jürgen Müller, Max Neunhöffer, Felix Noeske, The GAP-package orb. Version 4.3, http://www-groups.mcs.st-and.ac.uk/simneunhoef/ Computer/Software/Gap/orb.html, 2012.",Package,Yes,164,3,164
3395375,"Araújo, J. and Bentz, W. and Mitchell, J. D. and Schneider, C.",Math. Proc. Cambridge Philos. Soc.,2015,article,"J. D. Mitchell et al. Semigroups - GAP package, Version 2.4.1. May 2015. http://www-groups.mcs.st-andrews.ac.uk/jamesm/semigroups.php.",Package,Yes,134,3,134
3430360,"Araújo, J. and Cameron, P. J.",Trans. Amer. Math. Soc.,2016,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.3, 2006. +http://www.maths.qmul.ac.uk/~leonard/grape/+.",Package,Yes,106,3,106
3482340,"Araya, M. and Harada, M.",Hiroshima Math. J.,2016,article,"L. H. Soicher, GRAPE—a GAP package, Version 4.6.1; 2012, (http://www.gap-system.org/Packages/grape.html).",Package,Yes,105,3,105
3886270,"Araya, M. and Harada, M.",Discrete Math.,2019,article,"R. Baart, T. Boothby, J. Cramwinckel, J. Fields, D. Joyner, R. Miller, E. Minkes, E. Roijackers, L. Ruscio, C. Tjhai, GAP package GUAVA, Version 3.1.3, 2016, Available online at http://www.gap-system.org/Packages/guava.html.",Package,Yes,224,3,224
3575975,"Arvasi, Z. and Odabaş, A.",J. Algebra Appl.,2016,article,"M. Alp, A. Odabas, E. O. Uslu and C. D. Wensley, Crossed modules and romancat1-groups in GAP, Version 2.43 Manual for the XMod share package for GAP4 (2015), http://www.gap-system.org/packages/xmod.html",Package,Yes,202,3,202
3575975,"Arvasi, Z. and Odabaş, A.",J. Algebra Appl.,2016,article,"Z. Arvasi and A. Odabas, Crossed modules of commutative algebras and cat-1romanalgebras in GAP, Version 1.12 Manual for the XModAlg share package for GAP4 (2015), http://fef.ogu.edu.tr/matbil/aodabas/xmodalg.",Package,Yes,208,3,208
3424052,"Assi, A. and García-Sánchez, P. A.",J. Symbolic Comput.,2016,article,"Delgado, M., García-Sánchez, P.A., Morais, J., 2015. NumericalSgps, a package for numerical semigroups, Version 1.0.1 (Refereed GAP package). http://www.fc.up.pt/cmup/mdelgado/numericalsgps. 
MR3493240",Package,Yes,201,3,201
3550351,"Assi, A. and García-Sánchez, P. A. and Micale, V.",J. Symbolic Comput.,2017,article,"Delgado, M., García-Sánchez, P.A., Morais, J., 2015. ""NumericalSgps"", a GAP package for numerical semigroups. Available via http://www.gap-system.org. 
MR3493240",Package,Yes,161,3,161
2178086,"Assmann, B. and Eick, B.",J. Symbolic Comput.,2005,article,"Assmann, B., 2003a. Polenta—Polycyclic presentations for matrix groups. A deposited GAP 4 package; see The GAP Group (2004).",Package,No,124,2,124
2178086,"Assmann, B. and Eick, B.",J. Symbolic Comput.,2005,article,"Assmann, B., Eick, B., 2003. ALNUTH—ALgebraic NUmber THeory and an interface to the KANT system. A refereed GAP 4 package; see The GAP Group (2004).",Package,No,148,2,148
2178086,"Assmann, B. and Eick, B.",J. Symbolic Comput.,2005,article,"Dekimpe, K., Eick, B., 2000. Aclib—a library of almost crystallographic groups. A refereed GAP 4 package; see The GAP Group (2004).",Package,No,131,2,131
2178086,"Assmann, B. and Eick, B.",J. Symbolic Comput.,2005,article,"Eick, B., Nickel, W., 2000. Polycyclic—computing with polycyclic groups. A refereed GAP 4 package; see The GAP Group (2004). 
MR1829476",Package,No,135,2,135
2299794,"Assmann, B. and Eick, B.",Math. Comp.,2007,article,"B. Assmann. Polenta - Polycyclic presentations for matrix groups, 2006. A refereed GAP 4 package, see [14].",Package,No,107,2,107
2358616,"Assmann, B. and Linton, S.",J. Algebra,2007,article,"B. Assmann, Guarana—Applications of Lie methods in computational group theory, 2006, A GAP 4 package, see [23].",Package,No,111,2,111
2358616,"Assmann, B. and Linton, S.",J. Algebra,2007,article,"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [23].",Package,No,56,1,56
3544422,"Azizi, A. and Talbi, M. and Talbi, M. and Derhem, A. and Mayer, D. C.",Int. J. Number Theory,2016,article,"H. U. Besche, B. Eick and E. A. O'Brien, The Small Groups Library — a library of groups of small order, (2005); an accepted and refereed GAP 4 package, available also in MAGMA.",Package,No,176,2,176
3544422,"Azizi, A. and Talbi, M. and Talbi, M. and Derhem, A. and Mayer, D. C.",Int. J. Number Theory,2016,article,"G. Gamble, W. Nickel and E. A. O'Brien, ANU p-Quotient — p-quotient and p-group generation algorithms, (2006); an accepted GAP 4 package, available also in MAGMA.",Package,No,162,2,162
3658506,"Bächle, A. and Caicedo, M.",Internat. J. Algebra Comput.,2017,article,"A. Bächle and L. Margolis, HeLP – A GAP package for torsion units in integral group rings, preprint (2015), arXiv:1507.08174 [math.RT]. 
MR3820369",Package,No,146,2,146
3658506,"Bächle, A. and Caicedo, M.",Internat. J. Algebra Comput.,2017,article,"A. Bächle and L. Margolis, HeLP – Hertweck–Luthar–Passi method, GAP package, Version 2.1 (2015), http://homepages.vub.ac.be/abachle/help/. 
MR3820369",Package,Yes,149,3,149
3708050,"Bächle, A. and Margolis, L.",Internat. J. Algebra Comput.,2017,article,"A. Bächle and L. Margolis, HeLP – A GAP package for torsion units in integral group rings, submitted, preprint (2015), arXiv:1507.08174 [math.RT]. 
MR3820369",Package,No,157,2,157
3708050,"Bächle, A. and Margolis, L.",Internat. J. Algebra Comput.,2017,article,"A. Bächle and L. Margolis, HeLP – Hertweck–Luthar–Passi method, GAP package, Version 2.2, http://homepages.vub.ac.be/abachle/help/(2015).",Package,Yes,137,3,137
3708050,"Bächle, A. and Margolis, L.",Internat. J. Algebra Comput.,2017,article,"T. Breuer, The GAP Character Table Library, Version 1.2.1, http://www.math.rwthaachen.de/~Thomas.Breuer/ctbllib, May (2012), GAP package.",Package,Yes,137,3,137
3708050,"Bächle, A. and Margolis, L.",Internat. J. Algebra Comput.,2017,article,"R. A. Wilson, R. A. Parker, S. Nickerson, J. N. Bray and T. Breuer, AtlasRep, A GAP Interface to the Atlas of Group Representations, Version 1.5, http://www.math.rwthaachen.de/~Thomas.Breuer/atlasrep, July (2011), Refereed GAP package.",Package,Yes,235,3,235
3715687,"Bächle, A. and Margolis, L.",Proc. Edinb. Math. Soc. (2),2017,article,"T. Breuer, The GAP character table library, Version 1.2.1, GAP package (available at www.math.rwth-aachen.de/~Thomas.Breuer/ctbllib; 2012).",Package,Yes,139,3,139
3715687,"Bächle, A. and Margolis, L.",Proc. Edinb. Math. Soc. (2),2017,article,"V. Dabbaghian, REPSN – a GAP4 package for constructing representations of finite groups, Version 3.0.2, GAP package (available at www.sfu.ca/~vdabbagh/gap/repsn.html; 2011).",Package,Yes,173,3,173
3894722,"Bächle, A. and Herman, A. and Konovalov, A. and Margolis, L. and Singh, G.",Exp. Math.,2018,article,"A. Bächle and L. Margolis. HeLP – A GAP-package for torsion units in integral group rings (2016), arXiv:1507.08174v3 [math.RT]. 
cf. MR3820369",Package,No,142,2,142
4002537,"Bächle, A. and Margolis, L.",Proc. Amer. Math. Soc.,2019,article,"T. Breuer, The GAP Character Table Library, Version 1.2.1, http://www.math.rwthaachen.de/~Thomas.Breuer/ctbllib, May 2012,  GAP package.",Package,Yes,136,3,136
2273130,"Bailey, R. A. and Cameron, P. J. and Dobcsányi, P. and Morgan, J. P. and Soicher, L. H.",Discrete Math.,2006,article,"F. Lübeck, M. Neunhöffer, The GAPDoc package for GAP, (http://www.math.rwth-aachen.de/simFrank.Luebeck/GAPDoc/).",Package,Yes,112,3,112
2273130,"Bailey, R. A. and Cameron, P. J. and Dobcsányi, P. and Morgan, J. P. and Soicher, L. H.",Discrete Math.,2006,article,"L.H. Soicher, The GRAPE package for GAP, (http://www.maths.qmul.ac.uk/simleonard/grape/).",Package,Yes,89,2,89
2408485,"Bailey, R. A. and Cameron, P. J. and Connelly, R.",Amer. Math. Monthly,2008,article,"L. H. Soicher, The DESIGN package for GAP, available at http://designtheory.org/software/gap_design/.",Package,Yes,101,3,101
2684077,"Bailey, R. F. and Stevens, B.",Discrete Math.,2010,article,"L.H. Soicher, The GRAPE package for GAP, Version 4.3, 2006, http://www.maths.qmul.ac.uk/simleonard/grape/.",Package,Yes,106,3,106
3337174,"Bailey, R. F.",Australas. J. Combin.,2015,article,"J. Bamberg et al., FinInG—a finite geometry package for GAP, Version 1.0, 2011; cage.ugent.be/fining/.",Package,No,102,2,102
3337174,"Bailey, R. F.",Australas. J. Combin.,2015,article,"C. Pech and S. Reichard, The SetOrbit package for GAP, www.math.tu-dresden.de/simpech/SetOrbit/.",Package,Yes,96,3,96
3337174,"Bailey, R. F.",Australas. J. Combin.,2015,article,"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, www.maths.qmul.ac.uk/simleonard/grape/.",Package,Yes,102,3,102
3337174,"Bailey, R. F.",Australas. J. Combin.,2015,article,"L. H. Soicher, The DESIGN package for GAP, Version 1.6, 2011, designtheory.org/software/gap_design/.",Package,No,100,2,100
3092787,"Ballester-Bolinches, A. and Cosme-Llópez, E. and Esteban-Romero, R.",Cent. Eur. J. Math.,2013,article,"Ballester-Bolinches A., Cosme-Llópez E., Esteban–Romero R., Permut: A GAP4 package to deal with permutability, v.0.03, available at http://personales.upv.es/simresteban/gap/permut-0.03/",Package,Yes,185,3,185
2555698,"Ballinger, B. and Blekherman, G. and Cohn, H. and Giansiracusa, N. and Kelly, E. and Schürmann, A.",Experiment. Math.,2009,article,"M. Dutour Sikirić. ""Polyhedral,"" a package for GAP. Available online (http://www.liga.ens.fr/simdutour/Polyhedral/index.html), 2006.",Package,Yes,132,3,132
3325626,"Bamberg, J. and Devillers, A. and Fawcett, J. B. and Praeger, C. E.",J. Combin. Theory Ser. A,2015,article,"J. Bamberg, A. Betten, P. Cara, J. De Beule, M. Lavrauw, M. Neunhoeffer, FinInG–a romanGAP package, Version 1.0, http://cage.ugent.be/geometry/fining.php, 2013.",Package,Yes,160,3,160
3325626,"Bamberg, J. and Devillers, A. and Fawcett, J. B. and Praeger, C. E.",J. Combin. Theory Ser. A,2015,article,"L.H. Soicher, Grape–a romanGAP package, Version 4.3, http://www.maths.qmul.ac.uk/simleonard/grape/, 2012.",Package,Yes,105,3,105
4125850,"Bannai, E. and Navarro, G. and Rizo, N. and Tiep, P. H.",J. Math. Soc. Japan,2020,article,"J. Michel, The development version of the CHEVIE package of GAP3, J. Algebra, 435 (2015), 308–336. 
MR3343221",Package,No,109,2,109
2795737,"Barakat, M. and Lange-Hegermann, M.",J. Algebra Appl.,2011,article,"M. Barakat, The homalg Package—A GAP4 meta-package for homological algebra, 2007–2010, http://homalg.math.rwth-aachen.de/index.php/ core-packages/homalg-package.",Package,Yes,161,3,161
3261464,"Barakat, M. and Lange-Hegermann, M.",J. Algebra,2014,article,"Mohamed Barakat, Markus Lange-Hegermann, The homalg package—A homological algebra GAP4 meta-package for computable Abelian categories, http://homalg.math.rwth-aachen.de/index.php/core-packages/homalg-package, 2007–2014.",Package,Yes,219,3,219
4113853,"Bardakov, V. G. and Neshchadim, M. V. and Yadav, M. K.",Internat. J. Algebra Comput.,2020,article,"B. Eick, H. U. Besche and E. O'Brien, SmallGrp – A GAP package, version 1.3 (2018), https://www.gap-system.org/Packages/smallgrp.html.",Package,Yes,134,3,134
