MR,Citation
MR3271175,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2005. (http://www.gap-system.org)."
MR3449012,"The GAP Group: GAP – Groups, Algorithms, and Programming, Version 4.4. (2005). The GAP Group. http://www.gap-system.org"
MR3973105,"GAP Group, ""GAP—Groups, Algorithms, and Programming, Version 4.8.7."" 2017, http://www.gap-system.o."
MR2434096,"The GAP group, `GAP—groups, algorithms, and programming, version 4.4', 2006, package Grape, http://www.gap-system.org"
MR2242478,"GAP—Groups, Algorithms and Programming, Version 4.3, 2002."
MR3879476,"The GAP Group.: GAP - Groups, Algorithms, and Programming, Version 4.8.6 (2016). https://www.gap-system.org/"
MR3346170,GAP SmallGroups Library www.gap-system.org/Packages/sgl.html (accessed 18 December 2014)
MR3432870,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.4.12 (2009); http://www.gap-system.org."
MR2824088,"GAP: Groups, algorithms and programming, http://www.gap-system.org/"
MR3534498,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.6.2 (2013). http://www.gap-system.org"
MR2652224,"GAP. ""GAP—Groups, Algorithms and Programming, Version 4.4.10, 2007."" The GAP Group. http://www.gap-system, org."
MR3395061,"The GAP Group, GAP – groups, algorithms and programming, Version 4.4.10, http://www.gap-system.org, 2007."
MR2172712,"The GAP Group. ""Groups, Algorithms, and Programming, Version 4.4."" Available from World Wide Web (http://www.gap-system.org), 2005."
MR2522582,"GAP, 2004. GAP - Groups, Algorithms, and Programming, Version 4.4. The GAP Group. http://www.gap-system.org."
MR2859920,"S. Cicalò, W.A. de Graaf, C. Schneider, LieAlgDB–a GAP package, Version 2.1, November 2010. Available from: $<$www.sztaki.hu/$\sim$schneider/Research/LieAlgDB$>$."
MR2859920,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008. Available from: $<$http://www.gap-system.org$>$."
MR2862197,"Björn Assmann, Guarana. A GAP4 package, http://www.gap-system.org/Packages/guarana.html, 2007."
MR2862197,"Serena Cicalò, Willem A. de Graaf, LieRing. A GAP package, http://science.unitn.it/$\sim$degraaf/liering.html, 2011."
MR2862197,"The GAP Group, GAP - groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2004."
MR1822856,"M. Schönert et al., GAP: Groups, algorithms, and programming, 4th ed., Lehr-stuhl D für Mathematik, RWTH Aachen, 1994. See http://www-gap.dcs.st-and.ac.uk/$\sim$gap."
MR4116648,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.2; 2019, https://www.gap-system.org."
MR3911640,"GAP - Groups, Algorithms, Programming - a System for Computational Discrete Algebra, Available online at http://www.gap-system.org/."
MR3483156,"M. Delgado, P. A. García-Sánchez, and J. Morais, ""NumericalSgps"", a GAP package for numerical semigroups; available online from http://www.gap-system.org/. 
MR3493240"
MR4152353,"Delgado, M., García-Sánchez, P.A., Morais, J.: NumericalSgps, A Package for Numerical Semigroups, Version 1.1.11. https://gap-packages.github.io/numericalsgps (2019). (Refereed GAP package)"
MR4152353,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.2. https://www.gapsystem.org (2019)"
MR1989467,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002 (http://www.gap-system.org)."
MR2672155,"B. Eick, F. Gähler and W. Nickel, ""Cryst"", a package for the GAP computer algebra system, available from http://www.gap-system.org."
MR2672155,"G. Ellis, ""HAP - Homological Algebra Programming"", a package for the GAP computer algebra system, available from http://www.gap-system.org."
MR3079760,"The GAP Group, ""Groups, algorithms, and programming"", Version 4.4.12, 2008, http://www.gap-system.org."
MR3079760,"L. Vendramin, ""Rig: a GAP package for racks and quandles"", 2011, http://code.google.com/p/rig."
MR3253967,"The GAP Group, GAP—groups, algorithms, and programming, version 4.4.12 (2008), http://www.gap-system.org."
MR3253967,"L. Vendramin, RIG—a GAP package for racks and quandles (2011), http://code.google.com/p/rig/."
MR2134762,http://www.math.rwth-aachen.de/~GAP.
MR1808349,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4b5, Aachen, St. Andrews, 1998 [http://www-gap.dcs.st-and.ac.uk/$\sim$gap]"
MR2047097,"The GAP Group, Aachen, St Andrews, GAP – Groups, Algorithms, and Programming, Version 4.1, 1999 (http://www.gap-system.org)."
MR2124811,"A.M. Cohen, D.A.H. Gijsbers, GBNP, a GAP package for Gröbner bases computations with noncommutative polynomials, Eindhoven, http://www.win.tue.nl/amc/ow/grobner/doc/, 2002."
MR2141659,"Martin Schönert et al.: GAP - Groups, Algorithms, and Programming, Rheinisch Westfälische Technische Hochschule, Aachen, 1995."
MR2531218,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org/, 2008."
MR2827040,"The GAP Group (2002), GAP-Groups, Algorithms and Programming, Aachen, St. Andrews, available at http://www-gap.dcs.st-and.ac.uk/gap."
MR3169552,"The GAP Group. (2002). GAP-Groups, Algorithms and Programming, Aachen, St. Andrews. Available at http://www-gap.dcs.st-and.ac.uk/gap"
MR2489325,"Cohen A.M., Gijsbers D.A.H.–GBNP 0.9.4, A GAP package for computing Gröbner bases of non-commutative polynomials, Eindhoven, 2007, available at: http://www.mathdox.org/products/gbnp/."
MR3918046,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.8.7 (2017); http://www.gap-system.org."
MR2169384,"Gap, 2000. GAP Reference Manual. The GAP Group, School of Mathematical and Computational Sciences, University of St. Andrews."
MR3768257,"M. Delgado, P. García-Sánchez and J. Morais, NumericalSgps, A package for numerical semigroups, Version 0.980 dev (2013), (GAP package), http://www.fc.up.pt/cmup/mdelgado/numericalsgps/. 
MR3493240"
MR1655469,"M. Schönert et al., ""GAP: Groups, Algorithms and Programming,"" Lehrstuhl D für Mathematik, RWTH Aachen, Germany, 1992."
MR1980244,"M. Schönert et al., GAP: Groups, algorithms and programming (Lehrstuhl D für Mathematik, RWTH Aachen, Aachen, 1992)."
MR2673021,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.9; 2006, http://www.gap-system.org."
MR2781021,"The GAP Group, GAP–Groups, Algorithms and Programming, Version 4.3, 2002, http://www.gap-system.org."
MR4044691,"The GAP Group, Aachen, $\ssf{GAP}$ – Groups, Algorithms, and Programming. See http://www.gap-system.org."
MR1865535,"Eick, B.; Gähler, F.; Nickel, W.: CrystGap, computing with affine crystallographic groups. See: http://www.math.rwth-aachen.de/$\sim$GAP/WWW/Info4/share.html, 2000."
MR1865535,"Felsch, V.; Nickel, W.: CrystCat, a catalog of crystallographic groups of dimensions 2, 3, and 4. See: http://www.math.rwth-aachen.de/$\sim$GAP/WWW/Info4/share.html, 2000."
MR3784022,"""GAP – Groups, Algorithms, and Programming"", version 4.8.7, 2017, available at http://www.gap-system.org."
MR3116175,"GAP - Groups, Algorithms, Programming - a system for computational discrete algebra, http://www.gap-system.org."
MR2255127,"M. Delgado, S. Linton, J. Morais, Automata: A GAP package on finite automata, http://www.gap-system.org/Packages/automata.html."
MR2255127,"M. Delgado, J. Morais, SgpViz: A GAP package to visualize finite semigroups, http://www.gap-system.org/Packages/sgpviz.html."
MR2255127,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2004."
MR2230648,"M. Delgado and J. Morais, `SgpViz, a GAP [27] package to visualize finite semigroups (http://www.gap-system.org/Packages/sgpviz.html)'."
MR2230648,"The GAP Group., `GAP–groups, algorithms, and programming, Version 4.4', (2004). (http://www.gap-system.org)."
MR1835062,"Martin Schönert et al., ${\rm GAP}$ - Groups, Algorithms, and Programming, Lehrstuhl ${\rm D}$ für Mathematik, RWTH-Aachen, Germany, fifth edition, 1995"
MR2026841,"Schönert, M. et al.: GAP—Groups, Algorithms and Programming, Lehrstuhl D für Mathematik, RWTH-Aachen, Germany, fifth edition, 1995."
MR2745555,"M. Delgado, P.A. Garcia-Sánchez, J. Morais. NumericalSgps - a GAP package, 0.95, 2006, http://www.gap-system.org/ Packages/numericalsgps."
MR2745555,"The GAP Group, GAP - Groups, Algorithms, and Programming - Version 4.4.10, 2007."
MR3034776,"Delgado, M., García-Sánchez, P.A., Morais, J.: NumericalSgps-a GAP package, 0.95 (2006). http://www.gap-system.org/Packages/numericalsgps"
MR2583273,"The GAP Group, GAP - Groups, Algorithms, and Programming-Version 4-4-10 (2007) (http://www.gap-system.org)."
MR2583273,"M. Delgado, P. A. (Garcia-Sánchez, J. Morais, NumericalSgps - a GAP package, 0.95 (2006), (http://www.gap-system.org/Packages/riuraericalsgps)."
MR3318260,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.3, (2013). http://www.gap-system.org"
MR3503033,"M. Delgado, S. Linton and J. Morais. Automata: A GAP package on finite automata. http://www.gap-system.org/Packages/automata.html."
MR3503033,"M. Delgado and J. Morais. SgpViz: A GAP package to visualize finite semigroups, http://www.gap-system.org/Packages/sgpviz.html, 2008."
MR3503033,"The GAP Group. GAP – Groups, Algorithms, and Programming, Version 4.4, 2006. http://www.gap-system.org."
MR1909574,"The GAP Group, GAP: Groups, Algorithms and Programming, Version 4.2, 2000."
MR2805443,"Breuer, T.: Manual for the GAP Character Table Library, Version 1.1, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany (2004)"
MR2805443,"The GAP group, GAP-Groups, Algorithms, Programming, http://www.gap-system.org"
MR3567868,"G. Cooperman, ParGAP, Version 1.4.0, (2013), http://www.gap-system.org/Packages/pargap.html."
MR3567868,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.7, 2015, http://www.gap-system.org."
MR2884238,"The GAP Group, GAP—groups, algorithms, programming. Version 4.4.10, 2007. http://www.gap-system.org"
MR3894326,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, https://www.gap-system.org, 2017."
MR2229881,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org (2004)."
MR2031313,"GAP—Groups, Algorithms, and Programming, Version 4.2 (2000); http://www.gap-system.org."
MR2753303,"The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.4.9, http: //www-gap.des.st-and.ac.uk/gap/, 2006."
MR2753303,"L. H. Soicher, The GRAPE package for GAP, Version 4.3, http://www.maths.qmul.ac.uk/$\sim$leonard/grape/+, 2006."
MR3100304,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.4.9; 2006. (http://www.gap-system.org)"
MR3100304,"L. H. Soicher, DESIGN - a GAP package, Version 1.3, 2006. (http://designtheory.org/software/gap\_design/)"
MR3176023,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.9; 2006. (http://www.gap-system.org)"
MR3843258,"The GAP Group, GAP –Groups, Algorithms, and Programming, Version 4.8.4; 2016. (http://www.gap-system.org)."
MR4097406,"The GAP Group, GAP –Groups, Algorithms, and Programming, version 4.8.10, 2018, https://www.gap-system.org."
MR4105096,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.8.7 (2017). http://www.gap-system.org"
MR4105096,"Soicher, L.H.: The GRAPE package for GAP, Version 4.7, 2017. http://www.maths.qmul.ac.uk/~leonard/grape/"
MR4105096,"Wilson, R.A., Parker, R.A., Nickerson, S., Bray, J.N., Breuer, T.: The GAP package AtlasRep, Version 1.5.1 (2016). https://www.gap-system.org/Packages/atlasrep.html"
MR2298755,"J.-G. Dumas, R Heckenbach, B. D. Saunders, and V. Welker. SimpUcial Homology, a (proposed) GAP share package. Version 1.4.2. http://www.cis.udel.edu/""dumas/Homology/, 2004."
MR2298755,"The GAP Group. GAP — Groups, Algorithms, and Programming, Version 4, 4. http://www.gap-system.org, 2006."
MR3814569,"GAP – Groups, Algorithms, and Programming, Version 4.8.7, 2017, http://www.gap-system.org/."
MR2872918,"The GAP Group, GAP—groups, algorithms, and programming, version 4.4.9, 2006. http://www.gap-system.org."
MR2946468,"The GAP Group: GAP—Groups, Algorithms, and Programming, version 4.4.9 (2006). http://www.gap-system.org"
MR3208082,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10, 2007. http://www.gap-system.org."
MR1837963,"Schönert M. et al. GAP–Groups, algorithms and programming. Version 3.4.4. Lehrstuhl D für Mathematik, RWTH Aachen, and School of Mathematical and Computational Sciences, University of St Andrews, 1997."
MR2322775,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2005, (http://www.gap-system.org)."
MR2770889,"The GAP Group (2005). GAP - Groups, Algorithms, and Programming, Version 4.4; http://www.gap-system.org."
MR2287578,"The GAP Group (2005). Groups, Algorithms, and Programming, Version 4.4. http://www.gapsystem.org"
MR1835589,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.2, 1999. Available at http://www-gap.dcs.st-and.ac.uk/gap."
MR1435382,"M. Schönert et al., ""GAP—Groups, Algorithms and Programming,"" Lehrstuhl D für Mathematik, RWTH, Aachen, 1995."
MR2220417,"The GAP Group. Gap–Groups, Algorithms, and Programming, Version 4.4 (2004). http://www.gap-system.org."
MR1816718,"The GAP Group, ""GAP-Groups, Algorithms, and Programming,"" Version 4.2, Aachen/St. Andrews, 1999, http://www-gap.dcs.st-and.ac.uk/$\sim$ gap."
MR2228206,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR2955219,"The Gap Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR3828795,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.6, http://www.gap-system.org, 2016."
MR2195590,"V. Dabbaghian-Abdoly, REPSN - A Package for Constructing Representations of Finite Groups. GAP package. http://www.gap\_system.org/Packages/repsn.html 2004. 
MR2168613"
MR2195590,"The GAP Group, GAP-Groups, Algorithms, Programming-A System for Computation Discrete Algebra. Version 4.3, 2002, http://www.gap-system.org."
MR2299793,"V. Dabbaghian-Abdoly, RPSEN - A Package for Constructing Representations of Finite Groups, GAP Package, 2004, (http://www.gap-system.org/Packages/repsn.html). 
MR2168613"
MR2299793,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.6 (2005), (http://www.gap-system.org)."
MR2168613,"Dabbaghian-Abdoly, V., 2004. RPSEN—A Package for Constructing Representations of Finite Groups. GAP Package. http://www.gap-system.org/Packages/repsn.html. 
MR2705116"
MR2168613,"The GAP Group, 2004. GAP—Groups, Algorithms, and Programming. Version 4.4. http://www.gap-system.org."
MR2255125,"V. Dabbaghian-Abdoly, RPSEN—A Package for Constructing Representations of Finite Groups, GAP Package, 2004, http://www.gap-system.org/Packages/repsn.html. 
MR2168613"
MR2303192,"V. Dabbaghian-Abdoly, REPSN—A package for constructing representations of finite groups, GAP package, http://www.gap-system.org/Packages/repsn.html, 2004. 
MR2168613"
MR2303192,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.4.6, http://www.gap-system.org, 2005."
MR2630014,"V. Dabbaghian, REPSN—for constructing representations of finite groups, GAP package, Version 3.0.1, (2008). (http://www.gap-system.org/Packages/repsn.html)."
MR2630014,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). (http://www.gap-system.org)."
MR3126631,"The GAP Group, GAP-Groups, Algorithms, and Programming, version 4.5.5, 2012, http://www.gap-system.org."
MR2777016,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3; 2006, http://www.gap-system.org."
MR1997706,"The GAP group, GAP - Groups, Algorithms and Programming, Version 4.2 (Aachen, St. Andrews, 1999)."
MR1953793,"The GAP Group. GAP—Groups, algorithms, and programming. Version 4.2 (2000), http://www.gap-system.org."
MR2556139,"The GAP Group, GAP - Groups, algorithms, and programming, version 4.4, Aachen, St Andrews, visit, http://www-gap.dcs.st-and.ac.uk/$\sim$gap, 2006."
MR2556139,"G.P. Nagy, P. Vojtěchovský, LOOPS: Computing with quasigroups and loops in GAP, download at http://www.math.du.edu/loops."
MR3317208,"The GAP Group 2014 Groups, Algorithms and Programming version 4.7.5 www.gap-system.org &mDabbaghian V 2011 Repsn—a GAP package version 3.0.2 www.sfu.ca/~vdabbagh/gap/repsn.html"
MR2813470,"The GAP Group, GAP-Groups, algorithms, and programming-Version 4.4.10, (2007) (http://www.gap-system.org)."
MR2813470,"M. Delgado, P.A. Garcia-Sanchez and J. Morais, NumericalSgps-A GAP package, 0.96 (2005), (http://www.gap-system.org/Packages/numericalsgps)."
MR3786416,"M. Delgado, P. A. García-Sánchez and J. Morais, ""NumericalSgps"", A GAP package for numerical semigroups, Version 1.1.0 (2017), (Refereed GAP package), https://gap-packages.github.io/numericalsgps. 
MR3493240"
MR3786416,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.7, 2017, http://www.gap-system.org."
MR3990993,"Delgado, M., García-Sánchez, P.A., Morais, J.: ""NumericalSgps""—a GAP package, Version 1.1.5 (2017) http://www.gap-system.org/Packages/numericalsgps.html. Accessed 25 Sept 2017"
MR3990993,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.8.4 (2016). http://www.gap-system.org. Accessed 4 June 2016"
MR2894438,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.4.9; 2006, http://www.gap-system.org."
MR3765459,"Y. Muntyan, D. Savchuk, AutomGrp – GAP package for computations in self-similar groups and semigroups, version 1.2.4, 2014."
MR2845567,"The GAP Group, GAP—Groups, Algorithms, Programming—A System for Computational Discrete Algebra, Version 4.4.12, 2008. http://www.gap-system.org/"
MR2872443,"The GAP Group, GAP—groups, algorithms, and programming, version 4.4.12, 2008, http://www.gap-system.org."
MR3021404,"GAP Group, GAP—groups, algorithms, programming—a system for computational discrete algebra, Version 4.4.10 (2007) (available at www.gap-system.org)."
MR3080203,"W. Nickel, NQ, 1998, A refereed GAP 4 package. see [9]."
MR3080203,"The GAP Group, GAP-Groups, Algorithms, and Programming. Version 4.4.12; 2008. Http://www.gap-system.org."
MR2057200,"M. Schonert et al., GAP, Groups, Algorithms and Programming, Lehrstuhl De fur Mathematik, RWTH, Aachen, 1992."
MR2418685,"M. Schönert et. al., GAP-Groups, Algorithms, and Programming, Lehrstuhl de für mathematik, 1995. (http://www.gap-system.org)"
MR2440718,"M. Schönert et al., GAP-groups, algorithms and programming, Lehrstuhl De für Mathematik (1995) (http://www.gap-system.org)."
MR2852917,"The GAP Group, GAP–Groups, Algorithms, and Programming, version 4.4.12, 2008. http://www.gap-system.org"
MR3102179,"F. Effenberger, J. Spreer, simpcomp - A GAP toolkit for simplicial complexes, version 1.5.4, http://www.igt.uni-stuttgart.de/LstDiffgeo/simpcomp, 2011."
MR1946634,"Schönert, M. (together with, Bessche, H. U. et al.), (1997). updated by S. A. Linton, GAP: Groups Algorithms and Programming v. 3.4.4. Distributed Electronically with GAP, 18 April 1997."
MR3852764,"Delgado, M., Linton, S., Morais, J.: Automata – a GAP package, Version 1.13. http://cmup.fc.up.pt/cmup/mdelgado/automata/ (2011)"
MR3852764,"The GAP Group: GAP – Groups, Algorithms, and Programming, Version 4.8.6 (2016). http://www.gap-system.org"
MR3224085,"M. Alp and C. D. Wensley, XMOD, Crossed modules and $\roman{cat}^1$-groups in GAP, version 2.19, (2012) 1–49."
MR3224085,"GAP4 The GAP Group, GAP-Groups, Algorithms, and Programming, Version 4.5.5, 2012, http://www.gap-system.org."
MR2216274,"De Beule J, Govaerts P, Storme L Projective geometries, a share package for GAP. (http://cage.ugent.be/$\sim$jdebeule/pg)"
MR2216274,"The GAP Group, GAP—Groups, algorithms, and programming, Version 4.3; 2002. (http://www.gap-system.org)"
MR2241339,"J. De Beule, P. Govaerts, and L. Storme. Projective Geometries, a share package for GAP. (http://cage.ugent.be/~jdebeule/pg), submitted to GAP."
MR2241339,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.3 ; 2002. (http://www.gap-system.org)"
MR2319174,"J. De Beule, P. Govaerts, L. Storme, Projective geometries, a share package for GAP, http://cage.ugent.be/$\sim$jdebeule/pg."
MR2319174,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.4, http://www.gap-system.org, 2004."
MR2469977,"GAP—Groups, Algorithms, Programming—a System for Computational Discrete Algebra: http://www-gap.mcs.st-and.ac.uk/."
MR2679937,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (http://www.gap-system.org) (2008)"
MR3011535,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.4.12, 2008. www.gap-system.org"
MR3000437,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008) http://www.gap-system.org"
MR3046349,"The GAP Group. GAP—groups, algorithms, and programming, Version 4.4.12. http://www.gap-system. org (2008). Accessed 17 December 2008."
MR3300753,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12, 2008. (http://www.gap-system.org)."
MR3991604,"The GAP Group, GAP – groups algorithms programming version 4.7.5, 2014, http://www.gap-system.org."
MR4001805,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.7.5 (2014). http://www.gapsystem.org"
MR4066152,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.5, http://www.gap-system.org, 2014."
MR3047613,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR2303198,"M. Costantini, W.A. de Graaf, C. Schneider, liealgdb, a database of Lie algebras, a GAP4 package, 2006, in preparation."
MR2303198,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2004."
MR2556132,"Bettina Eick, Werner Nickel, Polycyclic, a GAP package, http://www.gap-system.org/Packages/polycyclic.html, 2004 (accepted)."
MR2556132,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10, http://www.gap-system.org, 2007."
MR2745547,"The GAP Group, GAP - Croups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2004."
MR2745547,"W.A. de Graaf, SLA - computing with Simple Lie Algebras, a GAP package, http://science.unitn.it/$\sim$degraaf/sla.html, 2009."
MR2765379,"GAP, 2004. GAP–Groups, Algorithms, and Programming, Version 4.4. The GAP Group, (http://www.gap-system.org)."
MR2765379,"de Graaf, W.A., 2009. SLA—computing with Simple Lie Algebras. A GAP package, (http://science.unitn.it/$\sim$degraaf/sla.html)."
MR2944435,"The GAP Group: GAP–Groups, Algorithms, and Programming, Version 4.4 (2004). http://www.gap-system.org"
MR2944435,"de Graaf, W.A.: SLA–Computing with Simple Lie Algebras. A GAP Package (2009). http://science.unitn.it/$\sim$degraaf/sla.html"
MR2975387,"The GAP Group, GAP–Groups, algorithms, and programming, Version 4.4, http://www.gap-system.org, 2004."
MR2975387,"Willem A. de Graaf, SLA–Computing with simple Lie algebras. A GAP package, http://science.unitn.it/$\sim$degraaf/sla.html, 2009."
MR3768261,"B. Eick and T. Moede, ccalgs — version 1.0 — a $\ssf{GAP}$ package (2015), http://www.icm.tu-bs.de/tobmoede/ccalgs/."
MR3768261,"The GAP Group, GAP — Groups, Algorithms, and Programming, version 4.8.5 (2016)."
MR2257255,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, http://www. gap-system.org (2002). 202 DE KLERK, MAHARRY, PASECHNIK, RICHTER, AND SALAZAR"
MR2546331,"GAP—groups, algorithms, and programming, Version 4.4.9, The GAP group (2006) http://www.gap-system.org"
MR2831404,"GAP—Groups, Algorithms, and Programming, Version 4.4.12, The GAP Group (2008). http://www.gap-system.org"
MR2831404,"Solcher, L.H.: GRAPE: GRaph Algorithms using PErmutation groups—A GAP package, Version number 4.3 (2006). http://www.maths.qmul.ac.uk/$\sim$leonard/grape/"
MR3060945,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12, 2008. Available at http://www.gap-system.org."
MR3073671,"The GAP Group, `GAP—groups, algorithms, and programming, version 4.4.12', 2008, http://www.gap-system.org."
MR2166799,"The GAP Group, GAP - Groups, Algorithms and Programming, http://www.gap-system.org,2000."
MR3061707,"Dietrich, H., Faccin, P., de Graaf, W.A., 2012. CoReLG - computing with real Lie groups. A GAP4 package, www.science.unitn.it/$\sim$corelg."
MR3061707,"The GAP Group, 2012. GAP - groups, algorithms, and programming, v. 4.5.5. www.gap-system.org."
MR2513586,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.10 (2007), http://www.gap-system.org"
MR2578307,"GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10 (2007) Available at http://www.gap-system.org"
MR2742012,"The GAP Group, GAP—Groups, Algorithms, Programming, Version 4.4.10 (2007) (http: //www.gap-system.org)."
MR2825262,"The GAP Group, GAP—Groups, algorithms, programming, ver. 4.4.10, 2007, http: //www.gap-system.org ."
MR2861751,"The GAP Group, 'GAP—groups, algorithms, and programming, version 4.4.12', Manual, 2008, http://www.gap-system.org."
MR3096504,"GAP Group, GAP–groups, algorithms, and programming, version 4.4.12, 2008, http://www.gap-system.org."
MR3651588,"GAP—Groups, Algorithms, and Programming, Version 4.7.7. http://www.gap-system.org (2015)"
MR3914542,"The GAP Group: GAP–Groups, Algorithms, and Programming. Version 4.7.7, Feb. 2105. http://www.gap-system.org."
MR3996938,"GAP—Groups, Algorithms, and Programming, Version 4.7.7 (2015). http://www.gap-system.org"
MR3208394,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.5.7, http://www.gap-system.org, 2012."
MR1849331,"The GAP Group, Aachen, St Andrews, GAP–Groups, Algorithms, and Programming, Version 4.2, 1999 ((http://www-gap.dcs.st-and.ac.uk/$\sim$gap))."
MR1959262,"The GAP Group, GAP—Groups, Algorithms and Programming, Version 4.2, 2000. (http://www.gap-system.org)."
MR3987331,"Franz Gähler, Carat, interface to CARAT, a crystallographic groups package, Version 2.2.2, Refereed GAP package, Mar. 2018."
MR3987331,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.0, URL: https://www.gap-system.org, 2018."
MR2287275,"Delgado, M.; García-Sánchez, P.A. and Morais, J. - ""numericalsgps"": a GAP [12] package on numerical semigroups. (http://www.gap-system.org/Packages/numericalsgps.html). 
MR3493240"
MR2287275,"The GAP Group - GAP - Groups, Algorithms, and Programming, Version 4.4, 2004. (http://www.gap-system.org)."
MR1832319,"Linton, S., G. Pfeiffer, E. Robertson, and N. Ruškuc, ""Monoid v2.0"", GAP package, 1997."
MR1832319,"Schönert, M., et al., ""GAP - Groups, Algorithms, and Programming"", Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, fifth edition, 1995."
MR2050894,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3, 2002. (http://www.gap-system.org)."
MR1978524,"The GAP Group, GAP - Groups, algorithms, and programming, version 4.2, 2000. (http://www.gap-system.org)."
MR2151427,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.1 (Aachen, St Andrews, 1999), http://www-gap.dcs.st-and.ac.uk/gap."
MR2395197,"Delgado, M., García-Sánchez, P.A., Morais, J.: ""Numericalsgps"": a GAP [12] package on numerical semigroups. http://www.gap-system.org/Packages/numericalsgps.html 
MR3493240"
MR2395197,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4 (2004). http://www.gap-system.org"
MR2863437,"M. Delgado and J. Morais, SgpViz, a GAP package to visualize finite semigroups, Version 0.998 (2008), http://www.gap-system.org/Packages/sgpviz.html."
MR2863437,"The GAP Group, GAP—groups, algorithms, and programming, version 4.4 (2004), http://www.gap-system.org."
MR3042586,"M. Delgado, P. A. García-Sánchez and J. Morais, ""NumericalSgps'', A GAP pack- age for numerical semigroups, current version number 0.97 (2011). Available via http://www.gap-system.org/."
MR3150926,"M. Delgado, ""Intpic, a GAP package for drawing integers"", [Online]. Available: http://www.fc.up.pt/cmup/mdelgado/software/"
